Occurrences	Hindawi (5594310)	Giga (5594256)	lemma#pos	Gloss	Answer1 - Egyptian	Answer2 - Syrian	Answer3 - Saudi Arabian	readability (rounded average)
335409	42.36%	57.64%	فِي#prep	in	1	1	1	1
270096	52.75%	47.25%	مِن#prep	from	1	1	1	1
181283	54.76%	45.24%	أَنَّ#conj_sub	that	3	2	2	2
178560	53.24%	46.76%	عَلَى#prep	on;above#on_+_what/which	1	1	1	1
157818	61.21%	38.79%	إِلَى#prep	to;towards	1	1	1	1
118356	68.52%	31.48%	كان#verb	be#if;whether_+_was;were	1	1	2	1
102603	78.35%	21.65%	قال#verb	say#said#be_said#say;(for_example)	1	1	1	1
99163	61.76%	38.24%	هٰذا#pron_dem	this/these#this_[masc.sg.]#these#these_two_[masc.du.]#these_two_[fem.du.]	2	1	1	1
94906	33.61%	66.39%	الَّذِي#pron_rel	which;who;whom_[masc.sg.]#who;whom_[fem.pl.]#which;who;whom_[fem.sg.]#to/for_+_which;who;whom_[masc.sg.]#with/by_+_which;who;whom_[masc.sg.]#who;whom_[pl.]#as/like_+_which;who;whom_[masc.sg.]#which;who;whom_[du.]#to/for_+_those_(people)_who/whom_[pl.]#which;who;whom_[fem.du.]#with/by_+_which;who;whom_[fem.sg.]#as/like_+_which;who;whom_[fem.sg.]#with/by_+_those_(people)_who/whom_[pl.]#to/for_+_which;who;whom_[fem.sg.]#as/like_+_those_(people)_who/whom_[pl.]	3	2	3	3
78047	76.27%	23.73%	لا#part_neg	no;not;non-#with_+_no_(without)#does;do;are;is_+_no;not#is;are_+_so;and_+_no;not	1	2	1	1
73893	66.02%	33.98%	أَنْ#conj_sub	That,_to#with_+_that#for/in_order_+_to	2	2	2	2
72000	70.32%	29.68%	ما#pron_rel	what/which#why/for_+_what#with_+_what	3	2	3	3
66422	70.65%	29.35%	ذٰلِكَ#pron_dem	that	2	2	2	2
66261	78.98%	21.02%	لِ#prep	to/for_+_it/him_(it/he_has)#to/for_+_them_[fem.pl.]_(they_have)#to/for_+_it/them/her_(it/she_has,_they_have)#to/for_+_us_(we_have)#to/for_+_me#to/for_+_you_[masc.sg.]_(you_have)#to/for_+_them_both_(they_both_have)#to/for_+_me_(I_have)#to/for_+_you_both_(you_both_have)#to/for_+_them_[masc.pl.]_(they_have)#for/to#to/for_+_you_[fem.sg.]_(you_have)#to/for_+_you_[masc.pl.]_(you_have)#to/for_+_you_[fem.pl.]_(you_have)	1	1	1	1
62058	50.21%	49.79%	عَن#prep	(away)_from,_off,_about,_on,_over#about_+_what/which#(away)_from,_off,_about,_on,_over_+_who/whom#about_+_that/if/unless/whether/as_long_as/as_soon_as	1	1	2	1
59640	76.44%	23.56%	قَدْ#part_verb	may,_might,_perhaps,_maybe,_possibly,_probably#already	4	3	3	3
